zdravý, -á, -é	gesund	09 09-46 vorgefertigt
na narozeniny (w.)	zum Geburtstag	09 09-48 vorgefertigt
nejlepší,-í, -í	der/die/ das Beste	09 09-49 vorgefertigt
zařizovat byt (m.)	eine Wohnung einrichten	09 09-50 vorgefertigt
věc (w.)	Ding // Sache	09 09-51 vorgefertigt
mobil (m.)	Handy	09 09-52 vorgefertigt
vždycky	immer	09 09-53 vorgefertigt
textová zpráva // textovka (w.)	Textnachricht	09 09-54 vorgefertigt
esemeska (w.)	SMS	09 09-55 vorgefertigt
oba, obě, obě	beide	09 09-56 vorgefertigt
bez	ohne	09 09-57 vorgefertigt
snášet	ertragen	09 09-58 vorgefertigt
nejhorší	der/die/das Schlimmste	09 09-59 vorgefertigt
přitom	während dessen	09 09-60 vorgefertigt
zub (m.)	Zahn	09 09-62 vorgefertigt
bolet	weh tun // schmerzen	09 09-63 vorgefertigt
bolí // mě, tě, ho, jí, nás, vás, je // (4.Fall)	es tut // mir, dir ihm, ihr, uns, euch, ihnen // weh	09 09-64 vorgefertigt
bolí mě v krku (m.)	mir tut der Hals weh	09 09-65 vorgefertigt
teplota (w.)	Fieber	09 09-66 vorgefertigt
celý, -á,-é	ganzer	09 09-67 vorgefertigt
je mi špatně	mir ist schlecht	09 09-68 vorgefertigt
brát vitaminy (m.)	Vitamine einnehmen	09 09-69 vorgefertigt
med (m.)	Honig	09 09-70 vorgefertigt
skoro	fast	09 09-71 vorgefertigt
nemocný, -á,-é	krank	09 09-72 vorgefertigt
otevři pusu (w.)	mach den Mund auf	09 09-73 vorgefertigt
naposled	zuletzt	09 09-74 vorgefertigt
jednou za šest hodin	einmal in 6 Stunden	09 09-75 vorgefertigt
lékárna (w.)	Apotheke	09 09-76 vorgefertigt
přijít na kontrolu (w.)	zur Kontrolle kommen	09 09-77 vorgefertigt
hodně	viel // ordentlich	09 09-78 vorgefertigt
břicho (s.)	Bauch	09 09-79 vorgefertigt
sanitka (w.)	Rettung	09 09-80 vorgefertigt
láh\uline{e}v (w.)	Flasche	10 10-1 vorgefertigt
zákus\uline{e}k (m.)	Kuchen // Mehlspeise	10 10-2 vorgefertigt
růže (w.)	Rose	10 10-3 vorgefertigt
cédéčko (s.)	CD	10 10-4 vorgefertigt
dár\uline{e}k (m.)	Geschenk	10 10-5 vorgefertigt
knihovna (w.)	Bibliothek	10 10-6 vorgefertigt
domů	nach Hause	10 10-7 vorgefertigt
ráno (s.)	der Morgen	10 10-8 vorgefertigt
večer (m.)	der Abend	10 10-9 vorgefertigt
strašný (m.)	schrecklich	10 10-10 vorgefertigt
každý, -á,-é	jeder/e/es	10 10-11 vorgefertigt
mít strach z … + 2.Fall	Angst haben vor …	10 10-12 vorgefertigt
hlavně	hauptsächlich	10 10-13 vorgefertigt
naštěstí (s.)	zum Glück	10 10-14 vorgefertigt
sešit	Heft	10 10-15 vorgefertigt
častěji	häufiger	10 10-16 vorgefertigt
do (+2.F.)	in, nach	10 10-17 vorgefertigt
od (+2.F.)	von	10 10-19 vorgefertigt
u (+2.F.)	bei	10 10-20 vorgefertigt
bez (+2.F.)	ohne	10 10-21 vorgefertigt
ptát se + 2.Fall	fragen	10 10-22 vorgefertigt
toho, toho	dessen	10 10-23 vorgefertigt
té	deren	10 10-24 vorgefertigt
takový, -á, -é	so ein/e/es	10 10-25 vorgefertigt
cesta (w.)	Reise, Weg	10 10-26 vorgefertigt
k (+3.F.)	zu	10 10-27 vorgefertigt
na	nach, auf	10 10-28 vorgefertigt
kavárna (w.)	Kaffeehaus	10 10-29 vorgefertigt
živě	live	10 10-30 vorgefertigt
představte si, že	stellt euch vor, dass	10 10-31 vorgefertigt
cesta (w.)kolem světa (m.)	eine Reise um die Erde	10 10-32 vorgefertigt
nejdelší, -í, -í	der/die/das Längste	10 10-33 vorgefertigt
ubytování (s.)	Unterkunft	10 10-36 vorgefertigt
blízko (+2.F.)	in der Nähe von, nahe, unweit (Präposition)	10 10-37 vorgefertigt
kolem/okolo (+2.F.)	um // herum // in der Umgebung von	10 10-38 vorgefertigt
uprostřed (+2.F.)	in der Mitte von // inmitten	10 10-39 vorgefertigt
vedle (+2.F.)	neben	10 10-40 vorgefertigt
běhat/ běžet	laufen	10 10-41 vorgefertigt
hluk (m.)	Lärm	10 10-42 vorgefertigt
za noc (w.)	pro Nacht	10 10-43 vorgefertigt
spokojený, -á, -é	zufrieden	10 10-44 vorgefertigt
jet na týden do …	für eine Woche nach … fahren	10 10-45 vorgefertigt
letenka (w.)	Flugticket	10 10-46 vorgefertigt
jednolůžkový pokoj (m.)	Einbettzimmer	10 10-47 vorgefertigt
polopenze (w.)	Halbpension	10 10-48 vorgefertigt
skřiván\uline{e}k	Lerche	11 11-1 vorgefertigt
sova	Eule	11 11-2 vorgefertigt
cvičit	trainieren // üben	11 11-3 vorgefertigt
trénovat	trainieren	11 11-4 vorgefertigt
zase	wieder	11 11-5 vorgefertigt
odpočívat	ausruhen	11 11-6 vorgefertigt
skladatel	Komponist	11 11-7 vorgefertigt
zpěvák	Sänger	11 11-8 vorgefertigt
hudební, -í, -í	Musik-	11 11-9 vorgefertigt
do kdy …?	bis wann …?	11 11-10 vorgefertigt
od kdy …?	seit wann …?	11 11-11 vorgefertigt
nějaký, -á, -é	(irgend)ein	11 11-12 vorgefertigt
říkat/ říct	sagen	11 11-13 vorgefertigt
kudrnatý, -á, -é	lockig	11 11-15 vorgefertigt
opravdu	wirklich	11 11-16 vorgefertigt
koho	wessen (Menschen)	11 11-18 vorgefertigt
čeho	wessen (Dinge)	11 11-19 vorgefertigt
maniak, maniačka	Fan // Süchtige/r // Abhängige/r	11 11-20 vorgefertigt
váza	Vase	11 11-21 vorgefertigt
sladký, -á, -é	süß	11 11-22 vorgefertigt
trochu	ein wenig	11 11-23 vorgefertigt
kousek	ein Stück	11 11-24 vorgefertigt
čtvrt	ein Viertel	11 11-25 vorgefertigt
hodně	viel	11 11-26 vorgefertigt
kolik	wie viel	11 11-27 vorgefertigt
půl	halb	11 11-28 vorgefertigt
